feature,rf_importance,logit_coef,logit_abs_coef
delay_days_positive_w,0.23711795359293342,0.28649519890452996,0.28649519890452996
is_delayed,0.18431198941727467,0.3514522111947295,0.3514522111947295
total_fulfillment_days_w,0.13264573139108193,0.2252649998258536,0.2252649998258536
item_count,0.08814095164997579,0.2943605571575815,0.2943605571575815
transport_days_w,0.08710849439971138,0.036244518535191596,0.036244518535191596
order_complexity_index,0.055961055978271675,0.07170783335539814,0.07170783335539814
approval_to_carrier_days_w,0.05065127192279404,0.13720846008634419,0.13720846008634419
volume_total_cm3_w,0.027470116285365657,-0.061781534069886,0.061781534069886
freight_ratio_w,0.02417547722777564,-0.004205884840606664,0.004205884840606664
payment_value_total_w,0.024108422866148813,-0.0049902029790209945,0.0049902029790209945
purchase_to_approval_days_w,0.0230833445345462,0.014604205249371774,0.014604205249371774
weight_total_g_w,0.02094689121206139,0.029947604917094382,0.029947604917094382
seller_count,0.016321617148007946,-0.044277991725790895,0.044277991725790895
is_multi_seller,0.013988188937500977,0.1845565433820008,0.1845565433820008
payment_installments_max,0.007883910372144387,0.0479228658857856,0.0479228658857856
category_count,0.0034399390002268584,0.013085581606719007,0.013085581606719007
seller_state_count,0.0026446440641793127,0.002132874159699158,0.002132874159699158
