customer_state,avg_review_score,low_score_rate,delayed_rate,avg_total_days,avg_transport_days,avg_freight_ratio,avg_payment_value,order_count,lat,lon,quadrant
AC,4.0875,15.0,3.75,21.035712962962965,17.556666666666665,0.2872933659977409,244.828125,80,-9.702555041197337,-68.4518519482381,Low delay / High score
AL,3.8477157360406093,21.31979695431472,20.812182741116754,24.457127338315473,20.979982962022934,0.2675681848367738,235.10878172588832,394,-9.599728966379828,-36.05201677757483,High delay / Low score
AM,4.243055555555555,13.194444444444445,2.7777777777777777,26.352644113297327,23.438259789737653,0.2963146249107163,190.976875,144,-3.349336304158689,-60.53742965565402,Low delay / High score
AP,4.242424242424242,6.0606060606060606,3.0303030303030303,27.121586349607185,23.653347713243548,0.2477731230694078,243.50651515151515,66,0.08602518971632306,-51.23430449751234,Low delay / High score
BA,3.930628677609167,17.002167853824712,11.892226695571384,19.245508649908814,15.952560264759184,0.2447844596078782,181.81646330133168,3229,-13.049360869325652,-39.560648696030576,High delay / Low score
CE,3.9442262372348784,17.124901806755695,13.668499607227021,21.205485720156528,17.869261468607256,0.2622407685682696,208.39241948153966,1273,-4.36315122962809,-39.00413976333794,High delay / Low score
DF,4.131400966183575,13.236714975845409,5.700483091787439,12.96162927178386,9.800861759706565,0.22132300690951245,166.5649468599034,2070,-15.810884759001096,-47.96963045270266,Low delay / High score
ES,4.078720162519045,13.814118842051803,10.411376333164043,15.609603078033595,12.245921617243194,0.22807320929388342,155.12290502793297,1969,-20.105145324187276,-40.50318322322485,High delay / High score
GO,4.105858170606372,13.1551901336074,6.3720452209660845,15.558286109207872,12.404756212886833,0.225949846829326,169.6439568345324,1946,-16.577644584237593,-49.33419502806323,Low delay / High score
MA,3.832865168539326,19.9438202247191,17.134831460674157,21.44158841162089,17.896693960023928,0.29967941608777326,206.33765449438204,712,-3.7989966701671265,-44.81862689333526,High delay / Low score
MG,4.192290651307045,11.750110766504209,4.474966770048737,11.983982574787904,8.755839233700915,0.21554314397800892,159.90442268498006,11285,-19.8646472791171,-44.42161506590787,Low delay / High score
MS,4.161659513590844,13.304721030042918,9.72818311874106,15.626169610687224,12.46105641988555,0.22460275703651486,191.8737625178827,699,-20.765005763284858,-54.53214031549422,High delay / High score
MT,4.145620022753128,12.741751990898747,5.802047781569966,17.96547934310875,14.82991123909746,0.24247547874165185,204.90433447098977,879,-14.156481652355609,-55.708955824019334,Low delay / High score
PA,3.9142550911039655,17.89924973204716,10.718113612004288,23.6414641885991,20.172391739609385,0.27417061811276305,222.7303429796356,933,-2.6312130665342277,-49.4858616770825,High delay / Low score
PB,4.076171875,14.84375,10.15625,20.246941076208042,16.744081669560185,0.2838053821931164,265.5017578125,512,-7.08829790924903,-35.82167825839298,High delay / Low score
PE,4.082963901203294,14.81950601646612,9.436352121595947,18.37184647895996,15.116806097975747,0.26414276331868014,194.41461684610513,1579,-8.179098403904215,-35.75886555563954,High delay / High score
PI,3.9936305732484074,16.13588110403397,13.800424628450106,19.494018538177244,16.306499714948494,0.28535901461918456,221.4735031847134,471,-5.754988726061569,-42.50954149377485,High delay / Low score
PR,4.239795918367347,10.877551020408163,3.959183673469388,11.972297363945577,8.771268879913077,0.22272588301082577,159.0959469387755,4900,-24.793606676623277,-50.8796624431511,Low delay / High score
RJ,3.965440995823438,18.32773728605356,11.92367537466219,15.241870977367098,11.947592217247959,0.21364153075460848,165.96513225780035,12211,-22.743477321669616,-43.15554026830261,High delay / Low score
RN,4.150743099787686,12.951167728237792,9.129511677282377,19.25403271703232,15.680728798065582,0.2813142679534071,212.50152866242038,471,-5.856702064225209,-35.99007862513833,High delay / High score
RO,4.1652892561983474,11.983471074380166,2.8925619834710745,19.37347193526171,16.51981830616774,0.31180819438259266,235.23409090909092,242,-10.341289125647073,-62.720578548602134,Low delay / High score
RR,3.902439024390244,14.634146341463413,12.195121951219512,29.387546014001806,25.644175700090333,0.32675751057907204,220.47609756097563,41,2.7171004644238934,-60.67286554709663,High delay / Low score
RS,4.18490707715412,11.920405481509293,6.025905763093673,15.27747625000869,12.057293044170509,0.22492950958629107,161.22561291533697,5327,-29.67919062328251,-52.03265163171496,Low delay / High score
SC,4.133560670645069,12.986643932935493,8.07047456663825,14.879042344863334,11.565427951306662,0.22125582646953668,166.6700767263427,3519,-27.222485826583537,-49.6179368726889,Low delay / High score
SE,3.907185628742515,18.862275449101794,14.97005988023952,21.438862240796187,17.939265600742957,0.276795284982028,207.0067365269461,334,-10.866199407643286,-37.18116903794639,High delay / Low score
SP,4.245822263054652,10.687060809971943,4.434732947632409,8.745659321312596,5.585321309665699,0.18205870927727927,142.48177041690462,40273,-23.155308346172937,-47.0840736716131,Low delay / High score
TO,4.153846153846154,12.087912087912088,9.89010989010989,17.676524131732467,14.278349486161986,0.28543846778771736,219.48608058608056,273,-9.503700370876633,-48.348661062026544,High delay / High score
