payment_type_primary,avg_review_score,low_score_rate,avg_payment_value,avg_installments,order_count
credit_card,4.155719848596248,12.866595866350789,165.23924951665168,3.509694197097187,73446
boleto,4.155964746616305,12.532787745252335,143.84056394921834,1.0,19062
voucher,4.096476964769647,14.579945799457994,112.80128455284553,1.1181571815718157,1845
debit_card,4.2408660351826795,11.096075778078484,140.63732746955344,1.0,1478
unknown,1.0,100.0,0.0,0.0,1
