complexity_level,avg_review_score,low_score_rate,delayed_rate,avg_total_days,avg_freight_ratio,avg_payment_value,order_count
Q1 Low,4.241589448201019,10.614408548292847,6.1607813673929375,11.661303366442972,0.2655470729646694,79.17303572919276,23958
Q2,4.225436179981634,10.77719342182152,6.565656565656567,12.257375020966474,0.21115551305088506,109.63176225060522,23958
Q3,4.173094582185492,12.521913348359629,6.974705735036313,12.850135055502221,0.180938623626771,161.63525085566408,23958
Q4 High,3.9835128140913265,17.31363218966525,6.932966023875115,13.294067273013267,0.17831327383249335,287.92839135153184,23958
