product_category_en,avg_review_score,low_score_rate,delayed_rate,avg_total_days,avg_transport_days,avg_price,avg_freight,item_records,order_nunique,avg_freight_ratio_proxy
bed_bath_table,3.923922075523959,18.20699843043117,6.887637337272643,12.75987195853295,9.607762245586228,93.5823765118641,18.426377065829563,10831,9177,0.16450836633092525
health_beauty,4.1895341416719845,12.486704956392257,7.381408211018932,11.934456409983692,8.84948820237223,130.25724101255054,18.91872580302063,9402,8601,0.12682153973508467
sports_leisure,4.165313917402721,13.034137025543089,6.242539985676773,12.123971599725472,9.332535389479059,113.26813678682262,19.37360348531869,8378,7486,0.14605962983876591
computers_accessories,3.9868559411146163,17.034700315457414,6.361724500525763,13.184958145908789,9.525988230894868,116.29350157728706,18.841155362776025,7608,6499,0.1394250430600696
furniture_decor,3.9532178217821783,18.094059405940595,6.918316831683169,12.81406608538458,9.06976211553447,87.37592079207921,20.630105198019802,8080,6260,0.19100883500621507
housewares,4.106275902901125,14.268798105387804,4.89934872705743,10.910147888091243,7.8225378213193215,90.53222024866785,21.019998519834218,6756,5709,0.18843191782187513
watches_gifts,4.071711092003439,14.823731728288909,7.067927773000859,12.608447312585588,9.73313502356613,199.34994325021495,16.75252622527945,5815,5454,0.07752121605060674
telephony,3.9943233424159854,15.531335149863759,6.902815622161672,12.859989789900595,9.330749970565478,69.89047683923705,15.660524523160761,4404,4069,0.1830548359898453
auto,4.115150036594291,13.905830690412296,6.977311539399854,12.161680361289564,9.264454510698183,139.41286899243718,21.88248353256892,4099,3792,0.13566716703245627
toys,4.20830207551888,12.178044511127782,6.126531632908227,11.61892531003121,8.814665159345392,116.69146036509127,18.816931732933234,3999,3774,0.1388617445871646
cool_stuff,4.195445920303605,11.846028734074276,5.7468148549742475,12.327887642063995,9.418062053226308,163.51885334779075,21.885245323936026,3689,3531,0.11804078486250541
garden_tools,4.084198113207547,14.952830188679245,6.462264150943396,13.642548979625262,10.434943502686059,110.21254481132075,22.656469339622642,4240,3428,0.17051732854647492
perfumery,4.22018624211475,13.036948032442176,6.4583959146890955,11.741319879037194,8.804540131337404,116.74009312105738,15.871682186842897,3329,3076,0.11968531565158338
baby,4.078066914498141,14.937478877999325,7.536329841162555,12.425245355506739,9.124684476424719,134.26870902331868,22.2329874957756,2959,2787,0.14206227785564626
electronics,4.067158671586716,14.833948339483394,7.564575645756458,12.867938315737325,10.128126268450185,55.73814022140221,16.665841328413283,2710,2498,0.23017852018188842
stationery,4.246430028559772,11.587107303141575,6.731946144430845,12.720935280573311,9.623630070681656,90.83315381476947,18.55935536515708,2451,2251,0.16965837518756458
fashion_bags_accessories,4.194430379746835,11.341772151898734,5.265822784810126,11.052996964369433,8.465882571495547,75.20551898734178,15.40566582278481,1975,1811,0.17001947226566994
pet_shop,4.216710182767624,12.06266318537859,4.856396866840731,11.193019606421043,7.987299560003867,110.04023498694517,20.207018276762405,1915,1680,0.15514352717941685
unknown,3.939016393442623,19.475409836065573,7.475409836065573,12.767526851851853,9.06957643442623,111.24744918032786,17.546793442622953,1525,1382,0.13623895824281324
office_furniture,3.516324062877872,25.45344619105199,7.9201934703748496,20.817284193201665,9.956182444914683,160.38067714631197,40.11718863361548,1654,1244,0.20008785867900122
luggage_accessories,4.352283317800559,8.667287977632805,4.100652376514446,10.650611052863207,8.657639611594353,128.72027027027028,27.906784715750234,1073,1015,0.17817346254924482
consoles_games,4.139017608897127,12.140871177015756,5.560704355885079,13.579892432979783,9.611919880376206,135.2997405004634,17.540157553290083,1079,1009,0.11476164127720921
home_appliances,4.218375499334221,10.918774966711052,4.527296937416778,11.287422880603641,8.26750454640726,104.67460719041279,19.217842876165115,751,744,0.1551171428592924
construction_tools_construction,4.091108671789242,14.050493962678376,6.147091108671789,10.661727891104606,8.17618286782941,154.11207464324917,22.100900109769483,911,731,0.12542152551902752
musical_instruments,4.221705426356589,11.937984496124031,7.441860465116279,12.986573356302038,9.604282335630204,281.6564651162791,27.481100775193802,645,605,0.0888960249652785
small_appliances,4.223583460949464,12.251148545176111,4.44104134762634,10.72884257486813,8.10590019000624,277.60921898928024,23.371592649310873,653,604,0.07765143738589819
books_general_interest,4.512195121951219,6.75422138836773,6.0037523452157595,11.56176047529706,8.377462129108471,84.47542213883678,16.530525328330206,533,492,0.16365893041796994
home_construction,3.95777027027027,17.39864864864865,5.912162162162162,13.239510643455956,8.766073026151151,137.0862668918919,22.877432432432432,592,481,0.14301640015244166
food,4.262833675564682,11.704312114989733,6.981519507186857,9.579729803597232,7.66511379192334,58.17661190965092,14.21,487,437,0.19630701900699757
furniture_living_room,3.9346938775510205,17.142857142857142,6.73469387755102,13.718507180650038,9.886650651927438,135.03885714285713,35.60473469387755,490,409,0.20864970263836694
home_confort,3.8524590163934427,19.672131147540984,9.367681498829041,13.54911573531963,10.735133549093591,134.0317330210773,19.64950819672131,427,390,0.127858859292227
audio,3.8379888268156424,21.508379888268156,11.452513966480447,13.310607250931099,10.318893156424581,140.47740223463688,15.669134078212291,358,345,0.1003489058945132
drinks,4.119113573407202,12.465373961218837,4.43213296398892,10.431881861085461,7.209615202113471,59.6394459833795,15.072770083102494,361,287,0.20174438501047973
market_place,4.072607260726072,12.871287128712872,3.6303630363036308,12.125170975430876,8.187019542232001,91.51973597359736,17.44792079207921,303,272,0.16012017978508172
books_technical,4.3893129770992365,10.305343511450381,8.015267175572518,10.65588325204976,8.374787867543116,71.2298854961832,15.941335877862596,262,255,0.18287383871173957
air_conditioning,4.052816901408451,15.492957746478872,3.5211267605633805,12.200390951030256,7.951448715440793,185.31218309859156,22.589014084507042,284,242,0.10865264072824408
kitchen_dining_laundry_garden_furniture,4.033088235294118,13.602941176470587,4.411764705882353,11.914152965005446,8.074709541802832,166.46720588235294,42.204632352941175,272,239,0.20225360887151478
construction_tools_lights,4.082191780821918,13.698630136986301,7.534246575342466,9.591878012430238,6.306351590246067,133.99736301369865,24.966301369863015,292,239,0.1570566548442297
fashion_shoes,4.280632411067193,11.067193675889328,3.9525691699604746,15.442336590543112,9.837958982945397,89.33620553359684,18.74699604743083,253,231,0.17344967370694148
industry_commerce_and_business,4.125954198473282,12.977099236641221,5.7251908396946565,10.563704012934691,7.88748206460277,146.2320992366412,28.727519083969465,262,230,0.1641951403399083
home_appliances_2,4.156521739130435,12.173913043478262,6.086956521739131,13.894915710547505,9.283982840177133,468.4523913043478,44.50682608695652,230,226,0.08676484324289871
food_drink,4.364312267657993,6.691449814126393,4.089219330855019,10.886025144568361,7.997983228349167,55.54973977695167,16.337881040892196,269,221,0.22726974206436423
fixed_telephony,3.757936507936508,23.015873015873016,3.571428571428571,12.570345430996472,8.616293310920046,217.12396825396826,17.59626984126984,252,209,0.0749669904225733
art,4.082051282051282,14.358974358974358,6.153846153846154,11.262984211775878,7.294504273504273,120.47384615384617,19.444,195,193,0.13896726210765437
costruction_tools_garden,4.116379310344827,15.517241379310345,5.603448275862069,11.882659193406768,8.706803260696041,108.17362068965517,22.36060344827586,232,190,0.1713006960124739
agro_industry_and_commerce,4.087378640776699,13.592233009708737,3.3980582524271843,11.641858818770226,8.308034261506652,342.55388349514567,27.36504854368932,206,177,0.0739757989483395
computers,4.219387755102041,11.73469387755102,4.081632653061225,13.319311224489796,9.97536292989418,1071.0160204081633,47.73204081632653,196,174,0.04266558528296617
construction_tools_safety,3.967032967032967,17.582417582417584,2.7472527472527473,11.890974702380952,8.39962257071632,212.88032967032967,20.415219780219783,182,158,0.08750796930460561
signaling_and_security,4.091836734693878,11.73469387755102,3.571428571428571,10.313594281462585,7.303943393329554,108.15841836734694,32.96413265306123,196,137,0.23358515286684536
christmas_supplies,4.06993006993007,13.286713286713287,6.293706293706294,14.551358780108778,11.21641147047397,56.13370629370629,20.59853146853147,143,123,0.2684469014491407
fashion_underwear_beach,4.0476190476190474,15.873015873015872,9.523809523809524,13.652362948265726,9.461199753821282,73.46071428571427,14.595,126,116,0.1657473352909684
fashion_male_clothing,3.7580645161290325,25.0,4.838709677419355,12.797002874850657,7.892447076612903,82.72040322580645,16.316129032258065,124,105,0.16474858984099222
costruction_tools_tools,4.444444444444445,8.080808080808081,5.05050505050505,11.715840114104004,9.04660026187804,159.33585858585857,19.77141414141414,99,94,0.11038867289057627
furniture_bedroom,4.252427184466019,12.62135922330097,6.796116504854369,13.244851334951456,8.700978739661993,184.96893203883494,42.01378640776699,103,90,0.18509685096423237
tablets_printing_image,4.1234567901234565,13.580246913580247,4.938271604938271,12.833663551668954,9.314800954503886,80.35098765432099,14.674074074074072,81,77,0.15442319959776693
small_appliances_home_oven_and_coffee,4.438356164383562,6.8493150684931505,5.47945205479452,9.831996289954338,7.146367009132421,638.2131506849315,36.388219178082196,73,72,0.05394032802730786
cine_photo,4.285714285714286,12.857142857142856,5.714285714285714,10.564818783068784,8.434695601851852,95.34957142857144,17.538714285714285,70,63,0.15536345666638823
dvds_blu_ray,4.180327868852459,14.754098360655737,6.557377049180328,12.959461900425016,10.080885511536126,74.46868852459016,20.118852459016395,61,56,0.21270087212123734
books_imported,4.508771929824562,8.771929824561402,3.508771929824561,8.126521483105913,5.332392381416504,77.5238596491228,12.843508771929825,57,50,0.142125514954552
party_supplies,3.8333333333333335,21.428571428571427,0.0,9.332789902998236,7.090350529100529,106.31404761904763,19.528333333333336,42,38,0.15518089522418446
music,4.2105263157894735,10.526315789473683,5.263157894736842,11.655654239766083,8.1396783625731,158.79868421052632,18.171315789473685,38,38,0.10268020449496347
furniture_mattress_and_upholstery,3.891891891891892,18.91891891891892,13.513513513513514,14.432969532032033,11.645486736736737,116.84810810810811,42.739729729729724,37,37,0.26781320123629276
fashio_female_clothing,3.933333333333333,13.333333333333334,6.666666666666667,12.060933127572017,7.176448816872428,58.55422222222222,12.966666666666667,45,36,0.18129901442935087
flowers,4.419354838709677,6.451612903225806,3.225806451612903,10.851878360215053,7.698784722222222,32.2658064516129,14.630645161290323,31,28,0.31197765839632957
fashion_sport,4.344827586206897,6.896551724137931,3.4482758620689653,11.82139527458493,9.35568606321839,72.2248275862069,19.414827586206897,29,26,0.21186054824932737
diapers_and_hygiene,3.3783783783783785,21.62162162162162,0.0,10.775192067067067,6.666024774774775,40.56189189189189,14.74054054054054,37,25,0.2665441625655487
home_comfort_2,3.6296296296296298,25.925925925925924,14.814814814814813,14.907226080246915,12.628668552812073,26.724814814814817,13.518888888888888,27,23,0.3359255646155828
arts_and_craftmanship,4.125,12.5,4.166666666666666,5.719785397376543,3.5860435956790124,75.58375,15.422083333333333,24,23,0.16946258023753058
portateis_cozinha_e_preparadores_de_alimentos,3.4285714285714284,28.57142857142857,7.142857142857142,8.145603505291005,6.224573412698413,280.97357142857146,21.03,14,13,0.06963493809202823
la_cuisine,4.0,23.076923076923077,0.0,7.110648148148148,5.605388176638177,147.5376923076923,25.64923076923077,13,12,0.14810142886965172
cds_dvds_musicals,4.642857142857143,0.0,0.0,10.749771825396826,8.149750330687832,52.142857142857146,16.070714285714285,14,12,0.2355940899904711
pc_gamer,3.625,25.0,0.0,9.39511863425926,6.852076099537038,163.36875,15.393749999999999,8,7,0.08611285924061253
fashion_childrens_clothes,5.0,0.0,0.0,8.81947585978836,6.9514004629629635,74.27857142857144,11.245714285714286,7,7,0.13149147276462825
security_and_services,2.5,50.0,0.0,15.138153935185183,13.484791666666666,141.64499999999998,20.61,2,2,0.1270222797448461
